Start to fetch stock prices history
1409_60m: True, MACD 呈上升趨勢
1409_30m: False, MACD 趨勢不明
1409_15m: False, MACD 趨勢不明
1410_week: True, MACD 呈上升趨勢
1410_day: True, MACD 呈上升趨勢
1410_month: True, MACD 呈上升趨勢
1410_60m: False, MACD 趨勢不明
1410_30m: False, MACD 趨勢不明
1410_15m: True, MACD 呈上升趨勢
1414_week: False, MACD 趨勢不明
1414_day: True, MACD 呈上升趨勢
1414_month: True, MACD 呈上升趨勢
1414_60m: True, MACD 呈上升趨勢
1414_30m: True, MACD 呈上升趨勢
1414_15m: False, MACD 趨勢不明
1416_week: True, MACD 呈上升趨勢
1416_day: True, MACD 呈上升趨勢
1416_month: True, MACD 呈上升趨勢
1416_60m: True, MACD 呈上升趨勢
1416_30m: False, MACD 趨勢不明
1416_15m: True, MACD 呈上升趨勢
1417_week: True, MACD 呈上升趨勢
1417_day: True, MACD 呈上升趨勢
1417_month: True, MACD 呈上升趨勢
1417_60m: True, MACD 呈上升趨勢
1417_30m: True, MACD 呈上升趨勢
1417_15m: False, MACD 趨勢不明
1418_week: False, MACD 趨勢不明
1418_day: True, MACD 呈上升趨勢
1418_month: False, MACD 趨勢不明
1418_60m: True, MACD 呈上升趨勢
1418_30m: True, MACD 呈上升趨勢
1418_15m: True, MACD 呈上升趨勢
1419_week: False, MACD 趨勢不明
1419_day: True, MACD 呈上升趨勢
1419_month: False, MACD 趨勢不明
1419_60m: True, MACD 呈上升趨勢
1419_30m: True, MACD 呈上升趨勢中回測
1419_15m: True, MACD 呈上升趨勢中回測
1423_week: False, MACD 趨勢不明
1423_day: True, MACD 呈上升趨勢
1423_month: True, MACD 呈上升趨勢
1423_60m: True, MACD 呈上升趨勢
1423_30m: False, MACD 趨勢不明
1423_15m: True, MACD 呈上升趨勢
1432_week: True, MACD 呈上升趨勢
1432_day: True, MACD 呈上升趨勢
1432_month: True, MACD 呈上升趨勢
1432_60m: False, MACD 趨勢不明
1432_30m: True, MACD 呈上升趨勢
1432_15m: False, MACD 趨勢不明
1434_week: False, MACD 趨勢不明
1434_day: True, MACD 呈上升趨勢
1434_month: True, MACD 呈上升趨勢
1434_60m: False, MACD 趨勢不明
1434_30m: False, MACD 趨勢不明
1434_15m: True, MACD 呈上升趨勢
1435_week: False, MACD 趨勢不明
1435_day: True, MACD 呈上升趨勢
1435_month: False, MACD 趨勢不明
1435_60m: True, MACD 呈上升趨勢
1435_30m: True, MACD 呈上升趨勢
1435_15m: True, MACD 呈上升趨勢
1436_week: False, MACD 趨勢不明
1436_day: True, MACD 呈上升趨勢
1436_month: True, MACD 呈上升趨勢
1436_60m: True, MACD 呈上升趨勢
1436_30m: False, MACD 趨勢不明
1436_15m: True, MACD 呈上升趨勢
1437_week: True, MACD 呈上升趨勢
1437_day: True, MACD 呈上升趨勢
1437_month: True, MACD 呈上升趨勢
1437_60m: True, MACD 呈上升趨勢
1437_30m: True, MACD 呈上升趨勢中回測
1437_15m: True, MACD 呈上升趨勢中回測
1438_week: False, MACD 趨勢不明
1438_day: False, MACD 趨勢不明
1438_month: True, MACD 呈上升趨勢
1438_60m: True, MACD 呈上升趨勢
1438_30m: False, MACD 趨勢不明
1438_15m: True, MACD 呈上升趨勢
1439_week: False, MACD 趨勢不明
1439_day: True, MACD 呈上升趨勢
1439_month: True, MACD 呈上升趨勢
1439_60m: True, MACD 呈上升趨勢
1439_30m: True, MACD 呈上升趨勢
1439_15m: True, MACD 呈上升趨勢中回測
1440_week: True, MACD 呈上升趨勢
1440_day: True, MACD 呈上升趨勢
1440_month: True, MACD 呈上升趨勢
1440_60m: True, MACD 呈上升趨勢
1440_30m: False, MACD 趨勢不明
1440_15m: False, MACD 趨勢不明
1441_week: True, MACD 呈上升趨勢
1441_day: True, MACD 呈上升趨勢
