Datetime,Open,High,Low,Close,Volume
2024-08-01 11:00:00,36.5,37.0,36.4,36.8,110007.0
2024-08-01 12:00:00,36.75,36.75,36.0,36.2,120258.0
2024-08-01 13:00:00,36.1,36.2,35.9,36.15,68718.0
2024-08-02 09:00:00,36.1,36.9,35.15,36.45,448708.0
2024-08-02 10:00:00,36.6,36.75,35.8,35.8,146284.0
2024-08-02 11:00:00,35.8,36.4,35.8,36.1,131779.0
2024-08-02 12:00:00,36.2,36.2,35.8,35.8,217599.0
2024-08-02 13:00:00,35.8,36.5,35.65,36.3,133554.0
2024-08-05 09:00:00,35.95,35.95,32.75,33.1,0.0
2024-08-05 10:00:00,33.15,36.6,33.15,35.35,421513.0
2024-08-05 11:00:00,35.35,35.85,34.8,34.85,152095.0
2024-08-05 12:00:00,34.85,35.2,34.25,34.95,167104.0
2024-08-05 13:00:00,34.9,34.9,34.15,34.35,80210.0
2024-08-06 09:00:00,36.0,36.5,33.45,35.0,773955.0
2024-08-06 10:00:00,35.0,36.25,34.95,35.5,499723.0
2024-08-06 11:00:00,35.65,37.5,35.5,36.7,463499.0
2024-08-06 12:00:00,36.8,37.7,36.3,36.9,2116600.0
2024-08-06 13:00:00,36.9,37.7,36.85,37.5,457458.0
2024-08-07 09:00:00,38.05,41.1,37.8,40.45,3020744.0
2024-08-07 10:00:00,40.45,40.45,39.15,39.6,774411.0
2024-08-07 11:00:00,39.65,40.0,39.5,39.7,281746.0
2024-08-07 12:00:00,39.65,40.0,39.5,39.55,306198.0
2024-08-07 13:00:00,39.65,41.0,39.5,40.85,1015252.0
2024-08-08 09:00:00,40.65,42.05,39.6,41.2,3406247.0
2024-08-08 10:00:00,41.1,41.9,40.2,40.8,797112.0
2024-08-08 11:00:00,40.8,41.15,40.25,40.55,434950.0
2024-08-08 12:00:00,40.5,41.8,39.8,40.25,2121359.0
2024-08-08 13:00:00,40.2,40.2,38.65,39.25,779266.0
2024-08-09 09:00:00,40.85,43.1,40.05,43.1,5832295.0
2024-08-09 10:00:00,43.1,43.1,43.1,43.1,126664.0
2024-08-09 11:00:00,43.1,43.1,43.1,43.1,74643.0
2024-08-09 12:00:00,43.1,43.1,43.1,43.1,89384.0
2024-08-09 13:00:00,43.1,43.1,43.1,43.1,98720.0
2024-08-12 09:00:00,46.8,47.4,45.95,47.4,0.0
2024-08-12 10:00:00,47.4,47.4,44.9,45.95,5098605.0
2024-08-12 11:00:00,45.9,45.9,43.7,44.55,2879545.0
2024-08-12 12:00:00,44.55,45.65,44.25,44.8,1609226.0
2024-08-12 13:00:00,44.8,45.25,44.35,45.2,847626.0
2024-08-13 09:00:00,44.95,47.8,43.9,45.85,8645254.0
2024-08-13 10:00:00,45.8,46.25,45.2,45.95,1929287.0
2024-08-13 11:00:00,45.9,46.65,45.7,46.05,1462077.0
2024-08-13 12:00:00,46.05,46.5,45.6,46.25,1382135.0
2024-08-13 13:00:00,46.3,46.35,44.35,44.9,1905586.0
2024-08-14 09:00:00,45.65,49.7,44.7,49.7,8684273.0
2024-08-14 10:00:00,49.7,49.7,49.7,49.7,639903.0
2024-08-14 11:00:00,49.7,49.7,49.7,49.7,669098.0
2024-08-14 12:00:00,49.7,49.7,49.7,49.7,458450.0
2024-08-14 13:00:00,49.7,49.7,49.7,49.7,53915.0
2024-08-15 09:00:00,52.3,52.3,47.95,48.6,24085015.0
2024-08-15 10:00:00,48.6,49.5,48.4,48.95,2552097.0
2024-08-15 11:00:00,48.9,50.6,48.75,49.35,3407597.0
2024-08-15 12:00:00,49.4,50.6,48.95,49.9,3726576.0
2024-08-15 13:00:00,49.9,50.3,49.5,50.3,2713108.0
2024-08-16 09:00:00,50.5,51.5,49.1,49.85,7400677.0
2024-08-16 10:00:00,49.85,49.9,48.9,49.4,2284547.0
2024-08-16 11:00:00,49.4,49.5,49.15,49.4,799553.0
2024-08-16 12:00:00,49.45,49.5,48.5,48.8,1796301.0
2024-08-16 13:00:00,48.8,48.9,48.2,48.4,1712410.0
2024-08-19 09:00:00,48.1,49.7,47.15,48.9,0.0
2024-08-19 10:00:00,48.9,49.2,48.6,48.6,699070.0
2024-08-19 11:00:00,48.7,48.9,48.1,48.15,803690.0
2024-08-19 12:00:00,48.15,48.25,47.4,47.45,784062.0
2024-08-19 13:00:00,47.45,47.6,47.2,47.3,828518.0
2024-08-20 09:00:00,47.6,47.95,46.2,46.8,3060634.0
2024-08-20 10:00:00,46.85,47.3,46.3,46.45,726682.0
2024-08-20 11:00:00,46.45,46.6,45.85,45.95,982057.0
2024-08-20 12:00:00,45.95,46.45,45.85,46.2,526688.0
2024-08-20 13:00:00,46.2,46.4,46.1,46.2,409832.0
2024-08-21 09:00:00,46.3,46.7,45.1,45.75,2959589.0
2024-08-21 10:00:00,45.75,45.75,44.9,45.3,1430322.0
2024-08-21 11:00:00,45.3,45.3,44.85,44.9,779683.0
2024-08-21 12:00:00,44.85,45.3,44.5,44.85,1025509.0
2024-08-21 13:00:00,44.85,44.9,44.3,44.3,814187.0
2024-08-22 09:00:00,44.3,45.0,43.3,43.85,0.0
2024-08-22 10:00:00,43.8,43.95,43.3,43.75,696317.0
2024-08-22 11:00:00,43.75,43.9,43.15,43.3,433346.0
2024-08-22 12:00:00,43.25,43.75,43.1,43.35,598567.0
2024-08-22 13:00:00,43.4,43.55,43.3,43.3,375974.0
2024-08-23 09:00:00,43.4,46.0,43.1,44.7,6050235.0
2024-08-23 10:00:00,44.75,45.75,44.6,45.1,1359813.0
2024-08-23 11:00:00,45.1,45.5,44.95,45.4,802026.0
2024-08-23 12:00:00,45.35,45.35,44.95,45.15,734831.0
2024-08-23 13:00:00,45.2,45.45,44.9,45.1,771207.0
2024-08-26 09:00:00,45.1,45.3,44.05,44.95,0.0
2024-08-26 10:00:00,45.0,45.45,44.5,44.5,629296.0
2024-08-26 11:00:00,44.45,45.1,44.45,44.65,214043.0
2024-08-26 12:00:00,44.65,44.65,43.8,43.9,625519.0
2024-08-26 13:00:00,43.95,43.95,43.25,43.3,681438.0
2024-08-27 09:00:00,43.1,45.6,42.75,45.2,3093783.0
2024-08-27 10:00:00,45.2,45.75,44.9,45.15,902604.0
2024-08-27 11:00:00,45.1,46.85,44.7,46.15,2172095.0
2024-08-27 12:00:00,46.1,47.5,45.9,47.5,2697514.0
2024-08-27 13:00:00,47.5,47.5,47.5,47.5,135698.0
2024-08-28 09:00:00,48.45,51.1,47.8,49.65,15282940.0
2024-08-28 10:00:00,49.6,49.95,49.15,49.7,2450176.0
2024-08-28 11:00:00,49.7,49.85,49.4,49.75,942118.0
2024-08-28 12:00:00,49.75,49.85,47.95,48.1,3568826.0
2024-08-28 13:00:00,48.2,48.35,47.8,48.2,1587014.0
2024-08-29 09:00:00,47.65,48.8,46.55,46.85,0.0
2024-08-29 10:00:00,46.85,47.35,46.6,47.15,697154.0
2024-08-29 11:00:00,47.15,47.25,46.8,46.8,418393.0
2024-08-29 12:00:00,46.75,47.25,46.75,47.2,402270.0
2024-08-29 13:00:00,47.2,47.25,47.0,47.05,455478.0
2024-08-30 09:00:00,46.9,47.8,45.8,46.2,1648601.0
2024-08-30 10:00:00,46.15,46.15,45.1,45.5,945441.0
2024-08-30 11:00:00,45.5,45.6,44.85,44.95,504495.0
2024-08-30 12:00:00,44.95,45.2,44.85,45.05,424759.0
2024-08-30 13:00:00,45.1,45.2,44.75,45.0,450464.0
2024-09-02 09:00:00,45.1,45.5,44.55,44.95,0.0
2024-09-02 10:00:00,44.9,45.15,44.7,44.85,316556.0
2024-09-02 11:00:00,44.9,45.3,44.6,44.6,231506.0
2024-09-02 12:00:00,44.6,44.7,44.15,44.25,344989.0
2024-09-02 13:00:00,44.2,44.45,44.1,44.15,246709.0
2024-09-03 09:00:00,44.05,46.25,43.75,45.55,1554236.0
2024-09-03 10:00:00,45.5,45.5,44.75,45.05,766843.0
2024-09-03 11:00:00,45.1,45.35,44.75,45.0,373064.0
2024-09-03 12:00:00,45.0,45.65,44.8,44.8,565308.0
2024-09-03 13:00:00,44.75,44.8,44.1,44.55,444277.0
2024-09-04 09:00:00,41.8,43.35,40.25,42.9,1523246.0
2024-09-04 10:00:00,42.9,43.15,42.3,42.35,296471.0
2024-09-04 11:00:00,42.3,42.45,42.2,42.4,164013.0
2024-09-04 12:00:00,42.25,42.6,42.15,42.35,299024.0
2024-09-04 13:00:00,42.3,42.5,42.0,42.5,263405.0
2024-09-05 09:00:00,43.0,44.3,42.9,42.95,1026039.0
2024-09-05 10:00:00,42.95,43.05,42.35,42.8,298276.0
2024-09-05 11:00:00,42.8,43.0,42.65,42.8,145293.0
2024-09-05 12:00:00,42.7,42.95,42.4,42.45,369000.0
2024-09-05 13:00:00,42.5,42.8,42.2,42.55,349652.0
2024-09-06 09:00:00,43.5,43.5,41.85,42.2,604553.0
2024-09-06 10:00:00,42.15,42.7,42.1,42.2,338279.0
2024-09-06 11:00:00,42.2,42.25,41.9,41.9,121410.0
2024-09-06 12:00:00,41.9,42.25,41.65,41.75,253820.0
2024-09-06 13:00:00,41.8,42.15,41.8,42.0,164191.0
2024-09-09 09:00:00,41.3,42.55,41.25,41.8,0.0
2024-09-09 10:00:00,41.8,42.1,41.6,42.05,246598.0
2024-09-09 11:00:00,41.95,41.95,41.55,41.9,162475.0
2024-09-09 12:00:00,41.9,42.5,41.8,42.4,277111.0
2024-09-09 13:00:00,42.35,42.75,42.35,42.65,117080.0
2024-09-10 09:00:00,42.6,43.15,41.45,41.55,581650.0
2024-09-10 10:00:00,41.5,41.55,41.05,41.1,243269.0
2024-09-10 11:00:00,41.2,41.6,40.5,40.75,302656.0
2024-09-10 12:00:00,40.75,40.75,40.0,40.45,459925.0
2024-09-10 13:00:00,40.35,40.6,40.05,40.35,244148.0
2024-09-11 09:00:00,40.45,40.7,40.1,40.1,542312.0
2024-09-11 10:00:00,40.1,40.25,39.8,40.0,166667.0
2024-09-11 11:00:00,40.0,40.0,39.6,39.85,120942.0
2024-09-11 12:00:00,39.75,39.85,39.2,39.6,317683.0
2024-09-11 13:00:00,39.55,39.65,39.3,39.3,119724.0
2024-09-12 09:00:00,39.65,41.0,39.4,40.35,880004.0
2024-09-12 10:00:00,40.4,40.85,40.25,40.3,174244.0
2024-09-12 11:00:00,40.3,40.45,40.2,40.2,66430.0
2024-09-12 12:00:00,40.2,40.5,40.05,40.25,149639.0
2024-09-12 13:00:00,40.25,40.35,40.05,40.15,135675.0
2024-09-13 09:00:00,40.45,40.85,40.15,40.35,319977.0
2024-09-13 10:00:00,40.35,40.45,40.2,40.2,103198.0
2024-09-13 11:00:00,40.15,43.55,40.1,42.9,1529575.0
2024-09-13 12:00:00,42.9,43.1,42.4,42.8,1065176.0
2024-09-13 13:00:00,42.8,42.9,42.4,42.5,423400.0
2024-09-16 09:00:00,42.6,44.3,42.5,42.95,0.0
2024-09-16 10:00:00,42.95,43.05,42.7,42.7,319856.0
2024-09-16 11:00:00,42.7,43.05,42.65,42.7,163532.0
2024-09-16 12:00:00,42.7,42.8,42.25,42.35,349748.0
2024-09-16 13:00:00,42.35,42.5,42.2,42.4,370120.0
2024-09-18 09:00:00,42.65,43.2,42.4,42.7,0.0
2024-09-18 10:00:00,42.65,42.65,41.85,42.2,212879.0
2024-09-18 11:00:00,42.15,42.2,41.6,41.75,197952.0
2024-09-18 12:00:00,41.7,41.7,41.25,41.25,188086.0
2024-09-18 13:00:00,41.25,41.5,41.2,41.4,98297.0
2024-09-19 09:00:00,41.3,41.75,40.9,41.3,229073.0
2024-09-19 10:00:00,41.3,41.55,41.2,41.4,174356.0
2024-09-19 11:00:00,41.35,41.5,41.3,41.45,57727.0
